,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
1,NULL,Syria,2017-02-08,NULL,2017-02-08,ICEWS25467542,He barred Syrian refugees indefinitely and citizens from seven Muslim-majority states for 90 days.,Impose administrative sanctions,Are Trump and Israel on the same page?,"(2017, 6, 3)",-5,33.5102,36.2913,2,NULL,The Jerusalem Post,4,Factiva,United States,Donald Trump,"Government,Executive,Executive Office",43468623,Syria,Refugee (Syria),"Social,Refugees / Displaced",2017
14,Cairo,Egypt,2017-02-10,NULL,2017-02-10,ICEWS25480418,"He met with the head of the General Intelligence Directorate, Khaled Fawzi, and this was followed shortly by a session with a second delegation, composed of security experts.",Consult,Uneasy neighbors,"(2017, 6, 3)",1,30.0626,31.2497,2,Muhafazat al Qahirah,The Jerusalem Post,3,Factiva,Occupied Palestinian Territory,Ismail Haniya,"Elite,Nongovernmental Organization (International),International Religious,Muslim,Dissident,Parties,(National) Major Party",43500315,Egypt,General Intelligence Directorate,"Government,Executive,Intelligence Ministry",2017
15,Cairo,Egypt,2017-02-10,NULL,2017-02-10,ICEWS25480419,"He met with the head of the General Intelligence Directorate, Khaled Fawzi, and this was followed shortly by a session with a second delegation, composed of security experts.",Consult,Uneasy neighbors,"(2017, 6, 3)",1,30.0626,31.2497,2,Muhafazat al Qahirah,The Jerusalem Post,3,Factiva,Egypt,General Intelligence Directorate,"Government,Executive,Intelligence Ministry",43500315,Occupied Palestinian Territory,Ismail Haniya,"Elite,Nongovernmental Organization (International),International Religious,Muslim,Dissident,Parties,(National) Major Party",2017
16,Cairo,Egypt,2017-02-10,NULL,2017-02-10,ICEWS25480417,"An Israeli strike in Sinai would be a violation of Egyptian sovereignty, and with Cairo currently Israel's most important regional ally, Jerusalem cannot risk jeopardizing these ties.",Use conventional military force,ISIS claims credit for rocket fire on Eilat. Iron Dome intercepts three incoming projectiles from Sinai. No injuries,"(2017, 6, 3)",-10,30.0626,31.2497,2,Muhafazat al Qahirah,The Jerusalem Post,5,Factiva,Israel,Israel,NULL,43500328,Egypt,Egypt,NULL,2017
26,Riyadh,Saudi Arabia,2017-02-12,NULL,2017-02-12,ICEWS25467418,The United Nations’ Secretary General has told a press conference in Riyadh that Saudi Arabia is the ‘pillar of stability in the region’.,Make statement,Saudi is ‘pillar of stability in the region’ says UN secretary general,"(2017, 6, 3)",0,24.6877,46.7219,2,Mintaqat ar Riyad,Al Arabiya,2,Factiva,NULL,United Nations,"International Government Organization,Global Diplomatic IGOs,Global",43468412,Saudi Arabia,Saudi Arabia,NULL,2017
27,Riyadh,Saudi Arabia,2017-02-12,NULL,2017-02-12,ICEWS25467419,"He stressed that the cooperation between the United Nations and Saudi Arabia, is key in the fight against terrorism,” explaining that the United Nations is working to help member states in the fight terrorism”.",Engage in diplomatic cooperation,Saudi is ‘pillar of stability in the region’ says UN secretary general,"(2017, 6, 3)",3.5,24.6877,46.7219,2,Mintaqat ar Riyad,Al Arabiya,4,Factiva,NULL,United Nations,"International Government Organization,Global Diplomatic IGOs,Global",43468412,Saudi Arabia,Saudi Arabia,NULL,2017
28,Riyadh,Saudi Arabia,2017-02-12,NULL,2017-02-12,ICEWS25467420,"He stressed that the cooperation between the United Nations and Saudi Arabia, is key in the fight against terrorism,” explaining that the United Nations is working to help member states in the fight terrorism”.",Engage in diplomatic cooperation,Saudi is ‘pillar of stability in the region’ says UN secretary general,"(2017, 6, 3)",3.5,24.6877,46.7219,2,Mintaqat ar Riyad,Al Arabiya,4,Factiva,Saudi Arabia,Saudi Arabia,NULL,43468412,NULL,United Nations,"International Government Organization,Global Diplomatic IGOs,Global",2017
41,Raqqa,Syria,2017-02-13,NULL,2017-02-13,ICEWS25466633,"US President Donald Trump and Turkish President Recep Tayyip Erdogan spoke on the phone last week, reportedly agreeing to act jointly in Raqqa and the northern town of Al Bab.",Express intent to cooperate,Syrian Kurds Capable of Liberating Raqqa From IS Without Turkish Support - Representative,"(2017, 7, 3)",4,35.9528,39.0079,2,Ar Raqqah,Unknown,3,Factiva,United States,Donald Trump,"Executive,Government,Executive Office",43466868,Turkey,Recep Tayyip Erdoğan,"Executive,Sunni,International Religious,Elite,Government,Center Right,(National) Major Party,Parties,Executive Office,Ideological",2017
42,Raqqa,Syria,2017-02-13,NULL,2017-02-13,ICEWS25466634,"US President Donald Trump and Turkish President Recep Tayyip Erdogan spoke on the phone last week, reportedly agreeing to act jointly in Raqqa and the northern town of Al Bab.",Express intent to cooperate,Syrian Kurds Capable of Liberating Raqqa From IS Without Turkish Support - Representative,"(2017, 7, 3)",4,35.9528,39.0079,2,Ar Raqqah,Unknown,3,Factiva,Turkey,Recep Tayyip Erdoğan,"Executive,Sunni,International Religious,Elite,Government,Center Right,(National) Major Party,Parties,Executive Office,Ideological",43466868,United States,Donald Trump,"Executive,Government,Executive Office",2017
43,Raqqa,Syria,2017-02-13,NULL,2017-02-13,ICEWS25466635,"US President Donald Trump and Turkish President Recep Tayyip Erdogan spoke on the phone last week, reportedly agreeing to act jointly in Raqqa and the northern town of Al Bab.",Discuss by telephone,Syrian Kurds Capable of Liberating Raqqa From IS Without Turkish Support - Representative,"(2017, 7, 3)",1,35.9528,39.0079,2,Ar Raqqah,Unknown,3,Factiva,United States,Donald Trump,"Executive,Government,Executive Office",43466868,Turkey,Recep Tayyip Erdoğan,"Executive,Sunni,International Religious,Elite,Government,Center Right,(National) Major Party,Parties,Executive Office,Ideological",2017
44,Raqqa,Syria,2017-02-13,NULL,2017-02-13,ICEWS25466636,"US President Donald Trump and Turkish President Recep Tayyip Erdogan spoke on the phone last week, reportedly agreeing to act jointly in Raqqa and the northern town of Al Bab.",Discuss by telephone,Syrian Kurds Capable of Liberating Raqqa From IS Without Turkish Support - Representative,"(2017, 7, 3)",1,35.9528,39.0079,2,Ar Raqqah,Unknown,3,Factiva,Turkey,Recep Tayyip Erdoğan,"Executive,Sunni,International Religious,Elite,Government,Center Right,(National) Major Party,Parties,Executive Office,Ideological",43466868,United States,Donald Trump,"Executive,Government,Executive Office",2017
45,NULL,Syria,2017-02-13,NULL,2017-02-13,ICEWS25466606,(Adds Tahrir al-Sham statement blaming Jund al-Aqsa for the fighting),Accuse,UPDATE 1-Jihadist rebel groups clash in northwest Syria-monitor,"(2017, 7, 3)",-2,33.5102,36.2913,2,NULL,Reuters News,1,Factiva,Syria,Citizen (Syria),"General Population / Civilian / Social,Social",43466907,Syria,Jund al-Aqsa,"Insurgents,Dissident",2017
46,Tadmur,Syria,2017-02-13,NULL,2017-02-13,ICEWS25466688,"Syrian troops destroyed more than 180 facilities, including more than 60 strongholds, 15 arms depots, 43 armoured vehicles and machine gun-carrying off-road vehicles, and more than 200 men, it said.",Use conventional military force,Russian aviation backs Syrian army assault on Palmyra,"(2017, 7, 3)",-10,34.5608,38.2805,2,Muhafazat Hims,BBC Monitoring Former Soviet Union,4,Factiva,Syria,Military (Syria),"Government,Military",43466979,Syria,Syria,NULL,2017
47,Tall `Afar,Iraq,2017-02-13,NULL,2017-02-13,ICEWS25466567,"Forces from the Hashed al-Shaabi (Popular Mobilisation), a paramilitary organisation dominated by Shiite militia groups, said the Islamic State group used tanks in their bid to break out of Tal Afar.",Make statement,Iraq forces foil IS attempt to flee to Syria: spokesman,"(2017, 7, 3)",0,36.3791,42.4481,2,Muhafazat Ninawa,Agence France-Presse,2,Factiva,Iraq,Military (Iraq),"Government,Military",43467000,Iraq,Islamic State of Iraq and the Levant,"Sunni,Muslim,Dissident,Fundamentalist,International Religious,Insurgents,Ideological",2017
