,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
14,Doha,Qatar,2018-01-30,NULL,2018-01-30,ICEWS28504495,But how does this square with Dershowitz not only traveling across the world to meet with the emir of Qatar - whose support for Hamas and terrorism against Israel by far outweighs the antisemitic sins of Farrakhan - and then having Dershowitz become a public defender of Qatar?,Consult,Dershowitz doubles down defending Doha and Qatar,"(2018, 5, 3)",1,25.2793,51.5224,1,Baladiyat ad Dawhah,The Jerusalem Post,2,Factiva,Qatar,Head of Government (Qatar),"Executive Office,Executive,Government",46488135,United States,Alan Dershowitz,"Social,Legal",2018
15,Doha,Qatar,2018-01-30,NULL,2018-01-30,ICEWS28504497,But how does this square with Dershowitz not only traveling across the world to meet with the emir of Qatar - whose support for Hamas and terrorism against Israel by far outweighs the antisemitic sins of Farrakhan - and then having Dershowitz become a public defender of Qatar?,Consult,Dershowitz doubles down defending Doha and Qatar,"(2018, 5, 3)",1,25.2793,51.5224,1,Baladiyat ad Dawhah,The Jerusalem Post,2,Factiva,United States,Alan Dershowitz,"Social,Legal",46488135,Qatar,Head of Government (Qatar),"Executive Office,Executive,Government",2018
16,Zarqa,Jordan,2018-01-30,NULL,2018-01-30,ICEWS28504499,"'The United States remains committed to supporting the Jordanian air force efforts to protect Jordan's borders, deter counter acts of terror and contribute to defeat[ing] ISIS,' said Henry Wooster, Charge d'Affaires of the US Embassy in Jordan, at an air base 35 km.",Praise or endorse,"Jordan's first female Black Hawk pilots meet US general bringing more helicopters. New aircraft part of 'quick reaction force' to guard borders and defend country from ISIS, other threats","(2018, 5, 3)",3.4,32.0728,36.088,1,Muhafazat az Zarqa',The Jerusalem Post,4,Factiva,United States,United States,NULL,46488144,Jordan,Air Force (Jordan),"Government,Military,Air Force",2018
19,Allenby Bridge,Jordan,2018-01-31,NULL,2018-01-31,ICEWS28504488,"Prime Minister Benjamin Netanyahu told reporters on his way back from India 10 days ago that Israel did not 'apologize' for the incident, but rather expressed regret.",Make statement,Israel gradually reopens embassy in Amman,"(2018, 5, 3)",0,31.8744,35.5406,1,Muhafazat al Balqa',The Jerusalem Post,6,Factiva,Israel,Benjamin Netanyahu,"Parties,(National) Major Party,Jews,Center Right,Ideological,Elite,International Ethnic,Foreign Ministry,Executive Office,Government,Executive",46488128,Israel,Israel,NULL,2018
21,NULL,Saudi Arabia,2018-01-31,NULL,2018-01-31,ICEWS28509725,"Saudi Arabia's attorney general announced on Tuesday that the kingdom's anticorruption crackdown managed to reach settlements amounting to around 400 billion Saudi riyals ($107 billion), which include assets such as commercial entities, securities, real estate and cash, a statement from the kingdom's Ministry of Information said.",Make statement,Saudi Anticorruption Crackdown Nets $107 Billion,"(2018, 5, 3)",0,24.6877,46.7219,1,NULL,The Oil Daily,1,Factiva,Saudi Arabia,Attorney General (Saudi Arabia),"Judicial,Government",46501484,Saudi Arabia,Royal Administration (Saudi Arabia),Government,2018
23,Beirut,Lebanon,2018-02-01,NULL,2018-02-01,ICEWS28508404,"He also described as 'very provocative' a Lebanese offshore oil and gas exploration tender in disputed territory on the countries' maritime border, and said it was a mistake for international firms to participate.",Make statement,Liberman: People in Beirut will sit in bomb shelters if third Lebanon war breaks out,"(2018, 5, 3)",0,33.8889,35.4944,2,Beyrouth,The Jerusalem Post,2,Factiva,Lebanon,Ministry of Defense,"Government,Executive,Defense / Security Ministry",46497709,Lebanon,Lebanon,NULL,2018
39,NULL,Qatar,2018-02-02,NULL,2018-02-02,ICEWS28508413,Zionist Organization of America leader Mort Klein became the latest high-profile Jewish leader from the US to visit Qatar.,Make a visit,Will Qatar change its ways after outreach to pro-Israel voices?,"(2018, 5, 3)",1.9,25.2793,51.5224,2,NULL,The Jerusalem Post,1,Factiva,United States,United States,NULL,46497682,Qatar,Qatar,NULL,2018
40,NULL,Qatar,2018-02-02,NULL,2018-02-02,ICEWS28508414,Zionist Organization of America leader Mort Klein became the latest high-profile Jewish leader from the US to visit Qatar.,Host a visit,Will Qatar change its ways after outreach to pro-Israel voices?,"(2018, 5, 3)",2.8,25.2793,51.5224,2,NULL,The Jerusalem Post,1,Factiva,Qatar,Qatar,NULL,46497682,United States,United States,NULL,2018
57,NULL,Egypt,2018-02-04,NULL,2018-02-04,ICEWS28512314,"According to the Times, who spoke to seven current or former British and American officials involved in Middle East policy, Israel began carrying out the strikes shortly after ISIS insurgents brought down a Russian charter plane over the peninsula in October 2015, killing all 224 people aboard.",Consult,"'Israel struck over 100 targets in Sinai with Cairo's okay.' Cooperation in fight against ISIS terrorists began in late 2015, says 'NYT'","(2018, 5, 3)",1,29.5,34,2,Sinai Peninsula,The Jerusalem Post,3,Factiva,United Kingdom,The Times,"Social,Print News,Media,News",46507407,United Kingdom,United Kingdom,NULL,2018
58,NULL,Egypt,2018-02-04,NULL,2018-02-04,ICEWS28512316,"According to the Times, who spoke to seven current or former British and American officials involved in Middle East policy, Israel began carrying out the strikes shortly after ISIS insurgents brought down a Russian charter plane over the peninsula in October 2015, killing all 224 people aboard.",Consult,"'Israel struck over 100 targets in Sinai with Cairo's okay.' Cooperation in fight against ISIS terrorists began in late 2015, says 'NYT'","(2018, 5, 3)",1,29.5,34,2,Sinai Peninsula,The Jerusalem Post,3,Factiva,United Kingdom,United Kingdom,NULL,46507407,United Kingdom,The Times,"Social,Print News,Media,News",2018
