,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
1,Cairo,Egypt,2017-11-21,NULL,2017-11-21,ICEWS28298227,CAIRO: Egypt and Ethiopia have reached a deadlock in further studies on the effects of the Ethiopian Grand Renaissance Dam (Gerd) on downstream countries.,Halt negotiations,"Egypt, Ethiopia at odds over dam built on the Nile","(2017, 47, 3)",-6.5,30.0626,31.2497,11,Muhafazat al Qahirah,The Mercury,1,Factiva,Egypt,Egypt,NULL,45975864,Ethiopia,Ethiopia,NULL,2017
2,Cairo,Egypt,2017-11-21,NULL,2017-11-21,ICEWS28298228,CAIRO: Egypt and Ethiopia have reached a deadlock in further studies on the effects of the Ethiopian Grand Renaissance Dam (Gerd) on downstream countries.,Halt negotiations,"Egypt, Ethiopia at odds over dam built on the Nile","(2017, 47, 3)",-6.5,30.0626,31.2497,11,Muhafazat al Qahirah,The Mercury,1,Factiva,Ethiopia,Ethiopia,NULL,45975864,Egypt,Egypt,NULL,2017
3,Cairo,Egypt,2017-11-21,NULL,2017-11-21,ICEWS28298401,CAIRO: Egypt and Ethiopia have reached a deadlock in further studies on the effects of the Ethiopian Grand Renaissance Dam (Gerd) on downstream countries.,Halt negotiations,Egypt and Ethiopia at odds over dam,"(2017, 47, 3)",-6.5,30.0626,31.2497,11,Muhafazat al Qahirah,Cape Argus,1,Factiva,Egypt,Egypt,NULL,45977006,Ethiopia,Ethiopia,NULL,2017
4,Cairo,Egypt,2017-11-21,NULL,2017-11-21,ICEWS28298402,CAIRO: Egypt and Ethiopia have reached a deadlock in further studies on the effects of the Ethiopian Grand Renaissance Dam (Gerd) on downstream countries.,Halt negotiations,Egypt and Ethiopia at odds over dam,"(2017, 47, 3)",-6.5,30.0626,31.2497,11,Muhafazat al Qahirah,Cape Argus,1,Factiva,Ethiopia,Ethiopia,NULL,45977006,Egypt,Egypt,NULL,2017
5,Cairo,Egypt,2017-11-21,NULL,2017-11-21,ICEWS28298346,CAIRO: Egypt and Ethiopia have reached a deadlock in further studies on the effects of the Ethiopian Grand Renaissance Dam (Gerd) on downstream countries.,Halt negotiations,"Egypt, Ethiopia at odds over dam built on the Nile","(2017, 47, 3)",-6.5,30.0626,31.2497,11,Muhafazat al Qahirah,Cape Times,1,Factiva,Egypt,Egypt,NULL,45977073,Ethiopia,Ethiopia,NULL,2017
6,Cairo,Egypt,2017-11-21,NULL,2017-11-21,ICEWS28298347,CAIRO: Egypt and Ethiopia have reached a deadlock in further studies on the effects of the Ethiopian Grand Renaissance Dam (Gerd) on downstream countries.,Halt negotiations,"Egypt, Ethiopia at odds over dam built on the Nile","(2017, 47, 3)",-6.5,30.0626,31.2497,11,Muhafazat al Qahirah,Cape Times,1,Factiva,Ethiopia,Ethiopia,NULL,45977073,Egypt,Egypt,NULL,2017
7,Cairo,Egypt,2017-11-21,NULL,2017-11-21,ICEWS28298459,Gaza City: Rival Palestinian factions Hamas and Fatah will meet in Cairo today to begin negotiations before a December 1 deadline for the Fatah-controlled Palestinian Authority (PA) to takeover governance of the Gaza Strip.,Express intent to meet or negotiate,Hamas talks​,"(2017, 47, 3)",4,30.0626,31.2497,11,Muhafazat al Qahirah,Daily News,1,Factiva,Occupied Palestinian Territory,Hamas,"Muslim,Dissident,Nongovernmental Organization (International),International Religious,(National) Major Party,Parties",45977165,Occupied Palestinian Territory,Fatah,"Center Left,Ideological,(National) Major Party,Parties,Dissident",2017
8,Cairo,Egypt,2017-11-21,NULL,2017-11-21,ICEWS28298460,Gaza City: Rival Palestinian factions Hamas and Fatah will meet in Cairo today to begin negotiations before a December 1 deadline for the Fatah-controlled Palestinian Authority (PA) to takeover governance of the Gaza Strip.,Express intent to meet or negotiate,Hamas talks​,"(2017, 47, 3)",4,30.0626,31.2497,11,Muhafazat al Qahirah,Daily News,1,Factiva,Occupied Palestinian Territory,Fatah,"Center Left,Ideological,(National) Major Party,Parties,Dissident",45977165,Occupied Palestinian Territory,Hamas,"Muslim,Dissident,Nongovernmental Organization (International),International Religious,(National) Major Party,Parties",2017
10,Riyadh,Saudi Arabia,2017-11-23,NULL,2017-11-23,ICEWS28297974,Top Lebanese officials have said Riyadh forced him to quit and held him in the kingdom.,Demand change in leadership,U-turn for Hariri​,"(2017, 47, 3)",-5,24.6877,46.7219,11,Mintaqat ar Riyad,Daily News,3,Factiva,Saudi Arabia,Saudi Arabia,NULL,45976414,Lebanon,Saad Hariri,"Ideological,Elite,Sunni,International Religious,Center Right,Parties,Executive,Executive Office,(National) Minor Party,Government",2017
11,Riyadh,Saudi Arabia,2017-11-23,NULL,2017-11-23,ICEWS28297975,Top Lebanese officials have said Riyadh forced him to quit and held him in the kingdom.,"Arrest, detain, or charge with legal action",U-turn for Hariri​,"(2017, 47, 3)",-5,24.6877,46.7219,11,Mintaqat ar Riyad,Daily News,3,Factiva,Saudi Arabia,Saudi Arabia,NULL,45976414,Lebanon,Saad Hariri,"Ideological,Elite,Sunni,International Religious,Center Right,Parties,Executive,Executive Office,(National) Minor Party,Government",2017
12,NULL,Lebanon,2017-11-23,NULL,2017-11-23,ICEWS28304548,the Lebanese Druze leader Walid Joumblatt was received on Thursday evening at home of the Center by the Prime Minister Saad Hariri who announced the previous day that he froze its resignation presented since Riyadh on 4 November.,Host a visit,"\nJoumblatt, chez Hariri, souhaite que la 'suspension' de la démission du Premier ministre se prolonge\n","(2017, 47, 3)",2.8,33.8889,35.4944,11,NULL,L' Orient-Le Jour,2,Factiva,Lebanon,Saad Hariri,"Government,Parties,Executive,Executive Office,International Religious,(National) Minor Party,Center Right,Ideological,Sunni,Elite",45992111,Lebanon,Lebanon,NULL,2017
13,NULL,Lebanon,2017-11-23,NULL,2017-11-23,ICEWS28304549,the Lebanese Druze leader Walid Joumblatt was received on Thursday evening at home of the Center by the Prime Minister Saad Hariri who announced the previous day that he froze its resignation presented since Riyadh on 4 November.,Make a visit,"\nJoumblatt, chez Hariri, souhaite que la 'suspension' de la démission du Premier ministre se prolonge\n","(2017, 47, 3)",1.9,33.8889,35.4944,11,NULL,L' Orient-Le Jour,2,Factiva,Lebanon,Lebanon,NULL,45992111,Lebanon,Saad Hariri,"Government,Parties,Executive,Executive Office,International Religious,(National) Minor Party,Center Right,Ideological,Sunni,Elite",2017
14,Sinjar,Iraq,2017-11-23,NULL,2017-11-23,ICEWS28304660,The body of 73 people killed by terrorists of Daesh were discovered yesterday by the Iraqi security forces buried in a common grave in the region of Sinjar (North) of the Iraq.,Use unconventional violence,\nDécouverte d'un charnier dans la région de Sinjar\n,"(2017, 47, 3)",-9,36.3209,41.8766,11,Muhafazat Ninawa,L'Expression,1,Factiva,Iraq,Terrorist (Islamic State of Iraq and the Levant),"Insurgents,Dissident,Fundamentalist,International Religious,Ideological,Sunni,Muslim",45992355,Iraq,Citizen (Iraq),"General Population / Civilian / Social,Social",2017
15,Riyadh,Saudi Arabia,2017-11-23,NULL,2017-11-23,ICEWS28304633,Moscow and Riyadh meet the opposition before of the peace talks,Consult,\nLes opposants syriens sous la pression de leurs parrains\n,"(2017, 47, 3)",1,24.6877,46.7219,11,Mintaqat ar Riyad,Le Monde,1,Factiva,Saudi Arabia,Saudi Arabia,NULL,45992426,Russian Federation,Russia,NULL,2017
16,Riyadh,Saudi Arabia,2017-11-23,NULL,2017-11-23,ICEWS28309347,The Saudis were accused of kidnapping him.,"Abduct, hijack, or take hostage","\nHariri head of a broken, sectarian system\n","(2017, 47, 3)",-9,24.6877,46.7219,11,Mintaqat ar Riyad,Irish Times,4,Factiva,Saudi Arabia,Citizen (Saudi Arabia),"General Population / Civilian / Social,Social",46002241,Lebanon,Saad Hariri,"Government,Parties,Executive,Executive Office,International Religious,(National) Minor Party,Center Right,Ideological,Sunni,Elite",2017
17,Riyadh,Saudi Arabia,2017-11-23,NULL,2017-11-23,ICEWS28309346,"Hariri claimed he stepped down to protest at Iranian meddling in Lebanon and the involvement of Iran's ally, Hizbullah, in Arab affairs.",Criticize or denounce,"\nHariri head of a broken, sectarian system\n","(2017, 47, 3)",-2,24.6877,46.7219,11,Mintaqat ar Riyad,Irish Times,5,Factiva,Lebanon,Saad Hariri,"Government,Parties,Executive,Executive Office,International Religious,(National) Minor Party,Center Right,Ideological,Sunni,Elite",46002241,Iran,Iran,NULL,2017
18,Beirut,Lebanon,2017-11-23,NULL,2017-11-23,ICEWS28309345,Iran denied the charge and Hizbullah urged Hariri to return home.,Make an appeal or request,"\nHariri head of a broken, sectarian system\n","(2017, 47, 3)",3,33.8889,35.4944,11,Beyrouth,Irish Times,6,Factiva,Lebanon,Hezbollah,"Organized Violent,Dissident,Far Left,Parties,International Religious,National Religious,Shia,Social,(National) Minor Party,Ideological",46002241,Lebanon,Saad Hariri,"Government,Parties,Executive,Executive Office,International Religious,(National) Minor Party,Center Right,Ideological,Sunni,Elite",2017
19,Cairo,Egypt,2017-11-23,NULL,2017-11-23,ICEWS28309602,"After studying the case details, the directorate of health services (DHS) has asked Sahar police to file an FIR and book Rao and Basha under sections 18 and 19 of the Act.",Make an appeal or request,\nMaharashtra to book both donor & donee in kidney racket\n,"(2017, 47, 3)",3,30.0626,31.2497,11,Muhafazat al Qahirah,The Times of India,3,Factiva,India,Ministry of Public Security (India),"Government,Executive,Police,Interior / Home Ministry,Defense / Security Ministry",46003130,India,Police (India),"Government,Police",2017
20,Cairo,Egypt,2017-11-23,NULL,2017-11-23,ICEWS28309851,"Egypt's ties with Turkey have been tense since the Egyptian military removed former Islamist President Mohamed Morsi in July 2013 and later blacklisted his Muslim Brotherhood group as a terrorist organization, a move that has been officially rejected by Turkey that hosted fleeing Brotherhood members and supporters.",Reduce relations,\nEgypt arrests spy network backed by Qatar\n,"(2017, 47, 3)",-4,30.0626,31.2497,11,Muhafazat al Qahirah,Indo-Asian News Service,4,Factiva,Egypt,Egyptian Armed Forces,"Military,Government",46003179,Egypt,Muslim Brotherhood,"National Religious,International Religious,Fundamentalist,(National) Major Party,Social,Parties,Ideological,Sunni,Muslim",2017
21,NULL,Saudi Arabia,2017-11-23,NULL,2017-11-23,ICEWS28309611,"In a statement, a QNB spokesperson said its operations in Saudi Arabia were operating as normal.",Make statement,\n\nQatar National Bank's link-up to Saudi payment network delayed - sources\n,"(2017, 47, 3)",0,24.6877,46.7219,11,NULL,Reuters News,5,Factiva,Qatar,Media Personnel (Qatar),"Social,Media",46003225,Qatar,Government Affiliated Bank (Qatar),"Government,Executive,Finance / Economy / Commerce / Trade Ministry",2017
22,NULL,Saudi Arabia,2017-11-23,NULL,2017-11-23,ICEWS28309821,Saudi Arabia has accused the heavily armed Iran-backed Hezbollah of helping Houthi forces in Yemen and playing a role in a ballistic missile attack on the kingdom earlier this month.,Accuse,"\nUPDATE 2-Iran Guards ready to help rebuild Syria, Hezbollah will not disarm-TV\n","(2017, 47, 3)",-2,24.6877,46.7219,11,NULL,Reuters News,5,Factiva,Saudi Arabia,Saudi Arabia,NULL,46003239,Lebanon,Hezbollah,"Organized Violent,Dissident,Far Left,Parties,International Religious,National Religious,Shia,Social,(National) Minor Party,Ideological",2017
23,Cairo,Egypt,2017-11-23,NULL,2017-11-23,ICEWS28309765,Eleven Palestine Liberation Organisation (PLO) factions led by Fatah and Islamist factions Hamas and Islamic Jihad participated in the talks and called for implementing a 2011 reconciliation agreement.,Make an appeal or request,"\nPalestinian factions accept elections, parliament to convene\n","(2017, 47, 3)",3,30.0626,31.2497,11,Muhafazat al Qahirah,BBC Monitoring Middle East,4,Factiva,Occupied Palestinian Territory,Islamic Jihad,"Dissident,Organized Violent,Muslim,International Religious",46003243,Occupied Palestinian Territory,Hamas,"Nongovernmental Organization (International),(National) Major Party,Parties,International Religious,Dissident,Muslim",2017
24,Cairo,Egypt,2017-11-23,NULL,2017-11-23,ICEWS28309805,Eleven Palestine Liberation Organisation (PLO) factions led by Fatah and Islamist factions Hamas and Islamic Jihad participated in the talks and called for implementing a 2011 reconciliation agreement.,Make an appeal or request,"\nPalestinian factions accept elections, parliament to convene\n","(2017, 47, 3)",3,30.0626,31.2497,11,Muhafazat al Qahirah,BBC Monitoring Middle East,4,Factiva,Occupied Palestinian Territory,Hamas,"Nongovernmental Organization (International),(National) Major Party,Parties,International Religious,Dissident,Muslim",46003243,Occupied Palestinian Territory,Islamic Jihad,"Dissident,Organized Violent,Muslim,International Religious",2017
25,Cairo,Egypt,2017-11-23,NULL,2017-11-23,ICEWS28309861,The cabinet said on Wednesday evening that Ismail would head to Germany for 'three weeks' for the treatment.,Express intent to meet or negotiate,\nEgypt PM leaves country for medical treatment\n,"(2017, 47, 3)",4,30.0626,31.2497,11,Muhafazat al Qahirah,Agence France-Presse,2,Factiva,Egypt,Sherif Ismail,"Energy Ministry,Executive,Government,Executive Office",46003424,Germany,Germany,NULL,2017
