,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
4,Baghdad,Iraq,2017-03-08,NULL,2017-03-08,ICEWS27362796,"The latest crisis appears to signal a return of the tensions which flared up late last year, when the PUK complained that Baghdad and the KDP were enjoying total dominance over Kirkuk's oil.",Criticize or denounce,Iraqi PM Tries to Defuse Kirkuk Oil Crisis,"(2017, 10, 3)",-2,33.3406,44.4009,3,Muhafazat Baghdad,The Oil Daily,3,Factiva,Iraq,Patriotic Union of Kurdistan,"Ideological,International Ethnic,Center Left,Parties,Nationalist,(National) Minor Party,Kurd (Ethnic Group)",43727527,Iraq,Iraq,NULL,2017
5,Baghdad,Iraq,2017-03-08,NULL,2017-03-08,ICEWS27362797,"The latest crisis appears to signal a return of the tensions which flared up late last year, when the PUK complained that Baghdad and the KDP were enjoying total dominance over Kirkuk's oil.",Criticize or denounce,Iraqi PM Tries to Defuse Kirkuk Oil Crisis,"(2017, 10, 3)",-2,33.3406,44.4009,3,Muhafazat Baghdad,The Oil Daily,3,Factiva,Iraq,Patriotic Union of Kurdistan,"Ideological,International Ethnic,Center Left,Parties,Nationalist,(National) Minor Party,Kurd (Ethnic Group)",43727527,Iraq,Kurdistan Democratic Party,"Nationalist,International Ethnic,Ideological,(National) Minor Party,Parties,Kurd (Ethnic Group)",2017
6,Kirkuk,Iraq,2017-03-08,NULL,2017-03-08,ICEWS27362798,The PUK has long protested against both federal and KRG oil policies toward Kirkuk.,Criticize or denounce,Iraqi PM Tries to Defuse Kirkuk Oil Crisis,"(2017, 10, 3)",-2,35.4681,44.3922,3,Muhafazat Kirkuk,The Oil Daily,6,Factiva,Iraq,Patriotic Union of Kurdistan,"Ideological,International Ethnic,Center Left,Parties,Nationalist,(National) Minor Party,Kurd (Ethnic Group)",43727527,Iraq,Iraqi Kurdistan,"International Ethnic,Kurd (Ethnic Group)",2017
7,NULL,Jordan,2017-03-08,NULL,2017-03-08,ICEWS27365622,"In a bid to project strength in its fight against ISIS, Jordan last week executed 15 people by hanging, its largest-scale implementation of capital punishment within memory.",Coerce,Unraveling Jordan's hangings,"(2017, 10, 3)",-7,31.9552,35.945,3,NULL,The Jerusalem Post,1,Factiva,Jordan,Jordan,NULL,43734053,Jordan,Citizen (Jordan),"General Population / Civilian / Social,Social",2017
14,NULL,Iraq,2017-03-10,NULL,2017-03-10,ICEWS27370046,"The National Security Council's Counter-Terrorism Bureau is concerned that ISIS terrorists might be plotting to carry out chemical attacks in Europe in the coming months.The bureau intends to issue a travel advisory to the tens of thousands of Israelis who are planning to vacation in Europe over the upcoming Passover holiday, Channel 2 reported.",Make pessimistic comment,Israel fears European ISIS chemical attack,"(2017, 10, 3)",-0.4,33.3406,44.4009,3,NULL,The Jerusalem Post,1,Factiva,NULL,UN Security Council,"Global Defense / Security IGOs,International Government Organization,Global,Global Diplomatic IGOs",43744750,Iraq,Terrorist (Islamic State of Iraq and the Levant),"Dissident,Ideological,Sunni,Muslim,International Religious,Insurgents,Fundamentalist",2017
27,Manbij,Syria,2017-03-12,NULL,2017-03-12,ICEWS27378881,"The Turks had threatened to attack Manbij, which is being held by US allies known as the Syrian Democratic Forces.",Threaten with military force,America takes the plunge in Syria. United States boosts its deployment in an increasingly complex battlefield and risks straining relations with Turkey,"(2017, 10, 3)",-7,36.5281,37.9549,3,Muhafazat Halab,The Jerusalem Post,4,Factiva,Turkey,Turkey,NULL,43766090,Syria,Syria,NULL,2017
28,Manbij,Syria,2017-03-12,NULL,2017-03-12,ICEWS27378880,The Russians intervened in Syria in 2015 to support the regime and Turkey sent troops into the country in 2016 to support Syrian rebels.,Praise or endorse,America takes the plunge in Syria. United States boosts its deployment in an increasingly complex battlefield and risks straining relations with Turkey,"(2017, 10, 3)",3.4,36.5281,37.9549,3,Muhafazat Halab,The Jerusalem Post,6,Factiva,Russian Federation,Citizen (Russia),"General Population / Civilian / Social,Social",43766090,Turkey,Turkey,NULL,2017
35,NULL,Iraq,2017-03-13,NULL,2017-03-13,ICEWS27356114,"Iraq's elite Counter-Terrorism Service (CTS) forces have recaptured New Mosul district in western Mosul from so-called Islamic State (IS) militant group, state-run Iraqia News TV reported on 13 March.",Occupy territory,Iraqi troops recapture New Mosul district from IS,"(2017, 11, 3)",-9.5,33.3406,44.4009,3,NULL,BBC Monitoring Newsfile,2,Factiva,Iraq,Military (Iraq),"Government,Military",43710676,Iraq,Iraq,NULL,2017
36,Suez,Egypt,2017-03-13,NULL,2017-03-13,ICEWS27356152,"In particular, he received the Deputy General Director of the SUEZ group Marie-Ange Debon, the head of the company DNCS Herve Guy, a manufacturer of defense products, General Director of the bank Credit Agricole SA, Xavier Musge, Vice President of Defense and Space Systems Airbus, Nicolas Shamoshi, President of CIFAL Gilles Remy, and President of Vivaction Richard Marie.",Host a visit,Ilham Aliyev’s Meetings with French Companies,"(2017, 11, 3)",2.8,29.9737,32.5263,3,As Suways,Unknown,3,Factiva,Azerbaijan,Ilham Aliyev,"Government,Ideological,Center Right,Executive Office,Secular,Executive,Nationalist,Elite,(National) Major Party,Parties",43710689,Egypt,Suez,"Local,Municipal,Government,Provincial",2017
37,Suez,Egypt,2017-03-13,NULL,2017-03-13,ICEWS27356154,"In particular, he received the Deputy General Director of the SUEZ group Marie-Ange Debon, the head of the company DNCS Herve Guy, a manufacturer of defense products, General Director of the bank Credit Agricole SA, Xavier Musge, Vice President of Defense and Space Systems Airbus, Nicolas Shamoshi, President of CIFAL Gilles Remy, and President of Vivaction Richard Marie.",Make a visit,Ilham Aliyev’s Meetings with French Companies,"(2017, 11, 3)",1.9,29.9737,32.5263,3,As Suways,Unknown,3,Factiva,Egypt,Suez,"Local,Municipal,Government,Provincial",43710689,Azerbaijan,Ilham Aliyev,"Government,Ideological,Center Right,Executive Office,Secular,Executive,Nationalist,Elite,(National) Major Party,Parties",2017
