,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
1,NULL,Iraq,2017-10-23,NULL,2017-10-23,ICEWS28179421,"On Sunday, Iraq Prime Minister Haider al-Abadi began a historic visit to Saudi Arabia, where he is meeting the king of Saudi Arabia and US Secretary of State Rex Tillerson.",Consult,What Iraq's recent moves against Kurds mean for Israel and region,"(2017, 43, 3)",1,36.2267,44.7611,10,Kurdistan,The Jerusalem Post,1,Factiva,Iraq,Haider Al-Abadi,"Executive,Legislative / Parliamentary,Government,Shia,Muslim,Ideological,(National) Major Party,Lower House,Parties,International Religious,Executive Office,Fundamentalist",45692994,Saudi Arabia,Royal Administration (Saudi Arabia),Government,2017
2,NULL,Saudi Arabia,2017-10-23,NULL,2017-10-23,ICEWS28179422,"On Sunday, Iraq Prime Minister Haider al-Abadi began a historic visit to Saudi Arabia, where he is meeting the king of Saudi Arabia and US Secretary of State Rex Tillerson.",Make a visit,What Iraq's recent moves against Kurds mean for Israel and region,"(2017, 43, 3)",1.9,24.6877,46.7219,10,NULL,The Jerusalem Post,1,Factiva,Iraq,Haider Al-Abadi,"Executive,Legislative / Parliamentary,Government,Shia,Muslim,Ideological,(National) Major Party,Lower House,Parties,International Religious,Executive Office,Fundamentalist",45692994,Saudi Arabia,Saudi Arabia,NULL,2017
3,NULL,Iraq,2017-10-23,NULL,2017-10-23,ICEWS28179424,"On Sunday, Iraq Prime Minister Haider al-Abadi began a historic visit to Saudi Arabia, where he is meeting the king of Saudi Arabia and US Secretary of State Rex Tillerson.",Consult,What Iraq's recent moves against Kurds mean for Israel and region,"(2017, 43, 3)",1,36.2267,44.7611,10,Kurdistan,The Jerusalem Post,1,Factiva,Saudi Arabia,Royal Administration (Saudi Arabia),Government,45692994,Iraq,Haider Al-Abadi,"Executive,Legislative / Parliamentary,Government,Shia,Muslim,Ideological,(National) Major Party,Lower House,Parties,International Religious,Executive Office,Fundamentalist",2017
4,NULL,Saudi Arabia,2017-10-23,NULL,2017-10-23,ICEWS28179425,"On Sunday, Iraq Prime Minister Haider al-Abadi began a historic visit to Saudi Arabia, where he is meeting the king of Saudi Arabia and US Secretary of State Rex Tillerson.",Host a visit,What Iraq's recent moves against Kurds mean for Israel and region,"(2017, 43, 3)",2.8,24.6877,46.7219,10,NULL,The Jerusalem Post,1,Factiva,Saudi Arabia,Saudi Arabia,NULL,45692994,Iraq,Haider Al-Abadi,"Executive,Legislative / Parliamentary,Government,Shia,Muslim,Ideological,(National) Major Party,Lower House,Parties,International Religious,Executive Office,Fundamentalist",2017
9,Doha,Qatar,2017-10-24,NULL,2017-10-24,ICEWS28182062,US Secretary of State Rex Tillerson arrived for talks in Doha Monday after earlier meetings in Saudi Arabia as part of a broader push to discuss proposed new sanctions on Iran and resolve the Qatar crisis.,Make a visit,Tillerson: No End in Sight for Qatar Crisis,"(2017, 43, 3)",1.9,25.2793,51.5224,10,Baladiyat ad Dawhah,The Oil Daily,1,Factiva,United States,Cabinet / Council of Ministers / Advisors (United States),"Government,Cabinet,Executive",45699225,Qatar,Qatar,NULL,2017
10,Doha,Qatar,2017-10-24,NULL,2017-10-24,ICEWS28182063,US Secretary of State Rex Tillerson arrived for talks in Doha Monday after earlier meetings in Saudi Arabia as part of a broader push to discuss proposed new sanctions on Iran and resolve the Qatar crisis.,Host a visit,Tillerson: No End in Sight for Qatar Crisis,"(2017, 43, 3)",2.8,25.2793,51.5224,10,Baladiyat ad Dawhah,The Oil Daily,1,Factiva,Qatar,Qatar,NULL,45699225,United States,Cabinet / Council of Ministers / Advisors (United States),"Government,Cabinet,Executive",2017
17,Arbil,Iraq,2017-10-25,NULL,2017-10-25,ICEWS28184637,"Amid turbulent changes in the Middle East, Turkey's relations with the Iraqi Kurds have been giving much hope for further mutually enriching cooperation between Ankara and Erbil.",Engage in diplomatic cooperation,Turkey's options in Iraq may now range between bad and worse,"(2017, 43, 3)",3.5,-12.7333,45.1333,10,Muhafazat Arbil,The Jerusalem Post,1,Factiva,Iraq,Iraq,NULL,45705642,Turkey,Turkey,NULL,2017
18,Riyadh,Saudi Arabia,2017-10-25,NULL,2017-10-25,ICEWS28184645,Saudi King Salman on Sunday hosted Iraqi Prime Minister Haidar Abadi for the first meeting of a joint coordinating council whose launch underscores the restart of ties after years of tension.,Host a visit,Saudis face daunting challenge in drawing Iraq away from Iran,"(2017, 43, 3)",2.8,24.6877,46.7219,10,Mintaqat ar Riyad,The Jerusalem Post,3,Factiva,Saudi Arabia,Salman bin Abdulaziz al-Saud,"Executive Office,Government,Elite,Executive",45705658,Iraq,Haider Al-Abadi,"Shia,Parties,(National) Major Party,Executive,Executive Office,Legislative / Parliamentary,Muslim,Government,Fundamentalist,International Religious,Ideological,Lower House",2017
19,Riyadh,Saudi Arabia,2017-10-25,NULL,2017-10-25,ICEWS28184646,Saudi King Salman on Sunday hosted Iraqi Prime Minister Haidar Abadi for the first meeting of a joint coordinating council whose launch underscores the restart of ties after years of tension.,Make a visit,Saudis face daunting challenge in drawing Iraq away from Iran,"(2017, 43, 3)",1.9,24.6877,46.7219,10,Mintaqat ar Riyad,The Jerusalem Post,3,Factiva,Iraq,Haider Al-Abadi,"Shia,Parties,(National) Major Party,Executive,Executive Office,Legislative / Parliamentary,Muslim,Government,Fundamentalist,International Religious,Ideological,Lower House",45705658,Saudi Arabia,Salman bin Abdulaziz al-Saud,"Executive Office,Government,Elite,Executive",2017
20,Baghdad,Iraq,2017-10-25,NULL,2017-10-25,ICEWS28184644,"On Saturday, Saudi Energy Minister Khalid al-Falih made a high profile visit to Baghdad, urging stronger economic relations to boost oil prices.",Make a visit,Saudis face daunting challenge in drawing Iraq away from Iran,"(2017, 43, 3)",1.9,33.3406,44.4009,10,Muhafazat Baghdad,The Jerusalem Post,6,Factiva,Saudi Arabia,Khalid A. Al-Falih,"Government,State Owned Enterprises,State-Owned Heavy Industrial / Chemical",45705658,Iraq,Iraq,NULL,2017
