,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
0,NULL,Egypt,2016-08-23,NULL,2016-08-23,ICEWS24921215,"Egyptian Foreign Minister Sameh Shoukry said on Sunday that Israel's actions against Palestinians does not constitute terrorism, eliciting an angry response from a Hamas spokesman who said Egypt's top diplomat is blind.",Make statement,Egypt: Israel's actions on Palestinians not terrorism,"(2016, 34, 3)",0,30.0626,31.2497,8,NULL,The Jerusalem Post,1,Factiva,Egypt,Sameh Shoukry,"Government,Foreign Ministry,Executive",42116694,Israel,Israel,NULL,2016
1,NULL,Egypt,2016-08-23,NULL,2016-08-23,ICEWS24921216,"Egyptian Foreign Minister Sameh Shoukry said on Sunday that Israel's actions against Palestinians does not constitute terrorism, eliciting an angry response from a Hamas spokesman who said Egypt's top diplomat is blind.",Make statement,Egypt: Israel's actions on Palestinians not terrorism,"(2016, 34, 3)",0,30.0626,31.2497,8,NULL,The Jerusalem Post,1,Factiva,Occupied Palestinian Territory,Hamas,"Dissident,Parties,(National) Major Party,Nongovernmental Organization (International),Muslim,International Religious",42116694,Egypt,Foreign Affairs (Egypt),"Government,Foreign Ministry,Executive",2016
2,Cairo,Egypt,2016-08-25,NULL,2016-08-25,ICEWS24925246,"Shoukry sparked an uproar on Sunday by saying, in answer to a question at a meeting he held with Egyptian students, that Israel's actions against Palestinians did not constitute terrorism.",Make statement,"We shouldn't get carried away by Egyptian FM's pro-Israel comment, says ex-envoy","(2016, 34, 3)",0,30.0626,31.2497,8,Muhafazat al Qahirah,The Jerusalem Post,3,Factiva,Egypt,Foreign Affairs (Egypt),"Government,Executive,Foreign Ministry",42125561,Israel,Israel,NULL,2016
3,Cairo,Egypt,2016-08-25,NULL,2016-08-25,ICEWS24925247,"Shoukry sparked an uproar on Sunday by saying, in answer to a question at a meeting he held with Egyptian students, that Israel's actions against Palestinians did not constitute terrorism.",Consult,"We shouldn't get carried away by Egyptian FM's pro-Israel comment, says ex-envoy","(2016, 34, 3)",1,30.0626,31.2497,8,Muhafazat al Qahirah,The Jerusalem Post,3,Factiva,Egypt,Foreign Affairs (Egypt),"Government,Executive,Foreign Ministry",42125561,Egypt,Student (Egypt),"Education,Social",2016
4,Cairo,Egypt,2016-08-25,NULL,2016-08-25,ICEWS24925249,"Shoukry sparked an uproar on Sunday by saying, in answer to a question at a meeting he held with Egyptian students, that Israel's actions against Palestinians did not constitute terrorism.",Consult,"We shouldn't get carried away by Egyptian FM's pro-Israel comment, says ex-envoy","(2016, 34, 3)",1,30.0626,31.2497,8,Muhafazat al Qahirah,The Jerusalem Post,3,Factiva,Egypt,Student (Egypt),"Education,Social",42125561,Egypt,Foreign Affairs (Egypt),"Government,Executive,Foreign Ministry",2016
5,Cairo,Egypt,2016-08-28,NULL,2016-08-28,ICEWS24933921,"The Copts wagered a great deal on Sisi's ability to improve their situation during his reign, hoping that he would remove the many obstacles that paved the way for the eruption of sectarian violence under Morsi.",Make optimistic comment,Sisi and the Copts: A passing crisis or the end of an alliance?,"(2016, 34, 3)",0.4,30.0626,31.2497,8,Muhafazat al Qahirah,The Jerusalem Post,5,Factiva,Egypt,Citizen (Egypt),"General Population / Civilian / Social,Social",42145717,Egypt,Head of Government (Egypt),"Executive Office,Executive,Government",2016
7,NULL,Egypt,2016-08-29,NULL,2016-08-29,ICEWS24934048,"When that secular movement was eclipsed by Shas, Ben-Eliezer joined former defense minister and future president Ezer Weizman in Yahad following the peace agreement with Egypt that Weizman helped produce.",Engage in diplomatic cooperation,"A tragedy in three acts. Binyamin Ben-Eliezer was not born a crook, neither was he born a hero","(2016, 35, 3)",3.5,30.0626,31.2497,8,NULL,The Jerusalem Post,4,Factiva,Israel,Binyamin Ben-Eliezer,"Jews,(National) Major Party,Parties,International Ethnic,Government,Legislative / Parliamentary,Unicameral,Center Left,Ideological",42145710,Israel,Ezer Weizman,"Jews,(National) Major Party,Parties,International Ethnic,Center Left,Ideological",2016
13,Suez,Egypt,2016-08-31,NULL,2016-08-31,ICEWS24943110,Egypt's foreign minister Salah e-Din welcomed the Russian move on the Suez blockade issue in the UN Security Council as a 'most hopeful and happy turn.',Praise or endorse,From our Archives,"(2016, 35, 3)",3.4,29.9737,32.5263,8,As Suways,The Jerusalem Post,4,Factiva,Egypt,Foreign Affairs (Egypt),"Government,Foreign Ministry,Executive",42166587,Russian Federation,Russia,NULL,2016
43,Tartous,Syria,2016-09-05,NULL,2016-09-05,ICEWS24919624,"At around 1100 gmt, the head of Al-Basil hospital in the city of Tartous told the Syrian state TV that the death toll in the city increased to 35 people.",Make statement,Around 50 killed in bombings in government-held areas across Syria,"(2016, 36, 3)",0,34.889,35.8866,9,Muhafazat Tartus,BBC Monitoring Middle East,5,Factiva,Syria,Healthcare Facility (Syria),"Medical / Health,Social",42113709,Syria,Syria,NULL,2016
44,Baay,Syria,2016-09-05,NULL,2016-09-05,ICEWS24919684,"Sep 05, 2016 (Shabelle Media Network/All Africa Global Media via COMTEX) -- Al-Shabab fighters have beheaded 2 respected traditional elders in a southern Somali town on Sunday for allegedly collaborating with Somali Federal Government in Baay region.",Kill by physical assault,Al Shabaab Beheads Elders in Southern Somalia,"(2016, 36, 3)",-10,36.3593,36.8662,9,Muhafazat Halab,All Africa,1,Factiva,Somalia,Combatant (Somalia),Unidentified Forces,42113947,Somalia,Citizen (Somalia),"Social,General Population / Civilian / Social",2016
49,Aleppo,Syria,2016-09-05,NULL,2016-09-05,ICEWS24919831,Turkey says both Islamic State and the YPG are terrorist organizations.,Make statement,"At G20 meeting, Turkey pushes plan for 'safe zone' in Syria","(2016, 36, 3)",0,36.2012,37.1612,9,Muhafazat Halab,Reuters News,4,Factiva,Turkey,Turkey,NULL,42114270,Syria,People's Protection Units,"Dissident,Separatists",2016
50,Aleppo,Syria,2016-09-05,NULL,2016-09-05,ICEWS24919832,The president said he was working with U.S.-led coalition forces and Russia to establish a ceasefire in Aleppo before the Eid al-Adha religious holiday expected to start around Sept. 11.,Cooperate militarily,"At G20 meeting, Turkey pushes plan for 'safe zone' in Syria","(2016, 36, 3)",7.4,36.2012,37.1612,9,Muhafazat Halab,Reuters News,5,Factiva,Turkey,Recep Tayyip Erdoğan,"Executive,Executive Office,Sunni,Center Right,International Religious,Ideological,Elite,(National) Major Party,Parties,Government",42114270,United States,Military (United States),"Military,Government",2016
51,Aleppo,Syria,2016-09-05,NULL,2016-09-05,ICEWS24919833,The president said he was working with U.S.-led coalition forces and Russia to establish a ceasefire in Aleppo before the Eid al-Adha religious holiday expected to start around Sept. 11.,Engage in diplomatic cooperation,"At G20 meeting, Turkey pushes plan for 'safe zone' in Syria","(2016, 36, 3)",3.5,36.2012,37.1612,9,Muhafazat Halab,Reuters News,5,Factiva,Turkey,Recep Tayyip Erdoğan,"Executive,Executive Office,Sunni,Center Right,International Religious,Ideological,Elite,(National) Major Party,Parties,Government",42114270,Russian Federation,Russia,NULL,2016
