,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
0,Baghdad,Iraq,2016-07-09,NULL,2016-07-09,ICEWS24765417,"Islamic State suicide bombers and gunmen stormed a Shiite Muslim shrine north of the Iraqi capital Baghdad, killing 40 people and wounding 71 others, authorities said Friday.",Carry out suicide bombing,World News: Iraq Reels After Another Terror Attack,"(2016, 27, 3)",-10,33.3406,44.4009,7,Muhafazat Baghdad,The Wall Street Journal,1,Factiva,Iraq,Armed Gang (Iraq),Unidentified Forces,41741690,Iraq,Citizen (Iraq),"General Population / Civilian / Social,Social",2016
7,Cairo,Egypt,2016-07-11,NULL,2016-07-11,ICEWS24765577,"TEL AVIV -- Egypt's foreign minister called on Israelis and Palestinians to take serious steps to resolve their decades-old conflict, saying on Sunday that Cairo would support efforts to bring peace.",Make statement,World News: Egypt Steps Up as Mideast Peace Broker,"(2016, 28, 3)",0,30.0626,31.2497,7,Muhafazat al Qahirah,The Wall Street Journal,1,Factiva,Egypt,Foreign Affairs (Egypt),"Government,Foreign Ministry,Executive",41741447,Egypt,Egypt,NULL,2016
8,Cairo,Egypt,2016-07-11,NULL,2016-07-11,ICEWS24765578,"TEL AVIV -- Egypt's foreign minister called on Israelis and Palestinians to take serious steps to resolve their decades-old conflict, saying on Sunday that Cairo would support efforts to bring peace.",Make an appeal or request,World News: Egypt Steps Up as Mideast Peace Broker,"(2016, 28, 3)",3,30.0626,31.2497,7,Muhafazat al Qahirah,The Wall Street Journal,1,Factiva,Egypt,Foreign Affairs (Egypt),"Government,Foreign Ministry,Executive",41741447,Israel,Citizen (Israel),"General Population / Civilian / Social,Social",2016
9,Cairo,Egypt,2016-07-11,NULL,2016-07-11,ICEWS24765579,"TEL AVIV -- Egypt's foreign minister called on Israelis and Palestinians to take serious steps to resolve their decades-old conflict, saying on Sunday that Cairo would support efforts to bring peace.",Make an appeal or request,World News: Egypt Steps Up as Mideast Peace Broker,"(2016, 28, 3)",3,30.0626,31.2497,7,Muhafazat al Qahirah,The Wall Street Journal,1,Factiva,Egypt,Foreign Affairs (Egypt),"Government,Foreign Ministry,Executive",41741447,Occupied Palestinian Territory,"Citizen (Palestinian Territory, Occupied)","Social,General Population / Civilian / Social",2016
10,NULL,Iraq,2016-07-11,NULL,2016-07-11,ICEWS24765572,"The prospective contributors, including board members of the influential Republican Jewish Coalition, also have criticized Mr. Trump's praise of former Iraqi dictator Saddam Hussein's lethal justice for adversaries.",Criticize or denounce,Election 2016: Tweet Backlash Chills GOP's Jewish Donors,"(2016, 28, 3)",-2,33.3406,44.4009,7,NULL,The Wall Street Journal,2,Factiva,Iraq,Citizen (Iraq),"General Population / Civilian / Social,Social",41741451,NULL,Saddam Hussein,"International Religious,Sunni",2016
23,Cairo,Egypt,2016-07-14,NULL,2016-07-14,ICEWS24759816,"Prime Minister Benjamin Netanyahu is willing to go anywhere to meet Palestinian Authority President Mahmoud Abbas to negotiate, but the setting of preconditions for such talks is a non-starter, a government source said Wednesday amid speculation of a four-way summit in Cairo.",Express intent to meet or negotiate,"Israel rejects Palestinian preconditions for talks. Official: Netanyahu will meet Abbas anywhere, but we won't make concessions before even starting negotiations","(2016, 28, 3)",4,30.0626,31.2497,7,Muhafazat al Qahirah,The Jerusalem Post,1,Factiva,Israel,Benjamin Netanyahu,"Foreign Ministry,Elite,International Ethnic,Center Right,Ideological,Executive Office,Parties,Government,(National) Major Party,Executive,Jews",41725983,Occupied Palestinian Territory,Mahmoud Abbas,"Elite,Executive,Government,Executive Office",2016
24,Cairo,Egypt,2016-07-14,NULL,2016-07-14,ICEWS24759815,"An Israeli government official expressed skepticism that the Palestinians would join a Cairo summit, and said that the preconditions were a way to avoid negotiations.",Make pessimistic comment,"Israel rejects Palestinian preconditions for talks. Official: Netanyahu will meet Abbas anywhere, but we won't make concessions before even starting negotiations","(2016, 28, 3)",-0.4,30.0626,31.2497,7,Muhafazat al Qahirah,The Jerusalem Post,4,Factiva,Israel,Government Official (Israel),Government,41725983,Occupied Palestinian Territory,"Palestinian Territory, Occupied",NULL,2016
36,NULL,Syria,2016-07-15,NULL,2016-07-15,ICEWS24763271,"In relevant developments in the province on Thursday, the Syrian army and its allies killed a group of Takfiri terrorists from al-Nusra Front that were trying to enter al-Samadaniyeh al-Sharghiyeh village in Quneitra countryside.",Use conventional military force,Syria: Terrorists Fail to Prevail over Army in Quneitra,"(2016, 28, 3)",-10,33.0333,35.7833,7,Muhafazat al Qunaytirah,FARS News Agency,3,Factiva,Syria,Military (Syria),"Government,Military",41734354,Syria,Terrorist (Jabhat al-Nusra),"Dissident,Radicals / Extremists / Fundamentalists",2016
37,NULL,Syria,2016-07-15,NULL,2016-07-15,ICEWS24763272,"According to a source, the Syrian soldiers in cooperation with popular forces clashed with a group of al-Nusra Front Takfiri terrorists that had arrived in al-Ajraf region towards al-Samadaniyeh al-Sharghiyeh.",Use conventional military force,Syria: Terrorists Fail to Prevail over Army in Quneitra,"(2016, 28, 3)",-10,33.0333,35.7833,7,Muhafazat al Qunaytirah,FARS News Agency,4,Factiva,Syria,Military (Syria),"Government,Military",41734354,Syria,Terrorist (Syria),"Rebel,Dissident",2016
38,NULL,Syria,2016-07-15,NULL,2016-07-15,ICEWS24763273,"Also in the same region, the Syrian army attacked the al-Nusra Front terrorists stationed in the road linking al-Hamidiya and al-Horiya in the Western parts of al-Ba'ath city in Quneitra with missiles and killed and injured tens of them.",Use conventional military force,Syria: Terrorists Fail to Prevail over Army in Quneitra,"(2016, 28, 3)",-10,33.0333,35.7833,7,Muhafazat al Qunaytirah,FARS News Agency,6,Factiva,Syria,Military (Syria),"Government,Military",41734354,Syria,Terrorist (Jabhat al-Nusra),"Dissident,Radicals / Extremists / Fundamentalists",2016
