,City,Country,Datetime,District,Event Date,Event ID,Event Sentence,Event Text,Headline,ISO Week,Intensity,Latitude,Longitude,Month,Province,Publisher,Sentence Number,Source,Source Country,Source Name,Source Sectors,Story ID,Target Country,Target Name,Target Sectors,Year
23,Doha,Qatar,2016-02-08,NULL,2016-02-08,ICEWS24169898,"Hamas and Fatah representatives were scheduled to begin talks in Doha, Qatar, on Sunday in yet another bid to end their dispute and implement previous reconciliation agreements signed between the two sides.",Engage in negotiation,Hamas and Fatah make yet another try at reconciliation,"(2016, 6, 3)",7,25.2793,51.5224,2,Baladiyat ad Dawhah,The Jerusalem Post,1,Factiva,Occupied Palestinian Territory,Hamas,"Nongovernmental Organization (International),International Religious,(National) Major Party,Parties,Muslim,Dissident",40345386,Occupied Palestinian Territory,Fatah,"Parties,Center Left,Ideological,Dissident,(National) Major Party",2016
24,Doha,Qatar,2016-02-08,NULL,2016-02-08,ICEWS24169899,"Hamas and Fatah representatives were scheduled to begin talks in Doha, Qatar, on Sunday in yet another bid to end their dispute and implement previous reconciliation agreements signed between the two sides.",Engage in negotiation,Hamas and Fatah make yet another try at reconciliation,"(2016, 6, 3)",7,25.2793,51.5224,2,Baladiyat ad Dawhah,The Jerusalem Post,1,Factiva,Occupied Palestinian Territory,Fatah,"Parties,Center Left,Ideological,Dissident,(National) Major Party",40345386,Occupied Palestinian Territory,Hamas,"Nongovernmental Organization (International),International Religious,(National) Major Party,Parties,Muslim,Dissident",2016
25,Balad,Iraq,2016-02-08,NULL,2016-02-08,ICEWS24170008,Prime Minister Benjamin Netanyahu and the heads of the coalition parties agreed Sunday to formulate legislation that would suspend MKs because of 'inappropriate behavior' if a special majority of 90 Knesset members voted to do so.,Express intent to cooperate,Gov't proposal: 90 MKs can vote to suspend colleagues for 'inappropriate behavior.' Erdan: Bodies of terrorists won't be released until families agree funerals won't turn into protests,"(2016, 6, 3)",4,34.0149,44.1457,2,Muhafazat Salah ad Din,The Jerusalem Post,1,Factiva,Israel,Benjamin Netanyahu,"International Ethnic,Ideological,Center Right,Executive,Government,Elite,Executive Office,(National) Major Party,Foreign Ministry,Parties,Jews",40345392,Iraq,Citizen (Iraq),"Social,General Population / Civilian / Social",2016
26,Balad,Iraq,2016-02-08,NULL,2016-02-08,ICEWS24170009,Prime Minister Benjamin Netanyahu and the heads of the coalition parties agreed Sunday to formulate legislation that would suspend MKs because of 'inappropriate behavior' if a special majority of 90 Knesset members voted to do so.,Express intent to cooperate,Gov't proposal: 90 MKs can vote to suspend colleagues for 'inappropriate behavior.' Erdan: Bodies of terrorists won't be released until families agree funerals won't turn into protests,"(2016, 6, 3)",4,34.0149,44.1457,2,Muhafazat Salah ad Din,The Jerusalem Post,1,Factiva,Iraq,Citizen (Iraq),"Social,General Population / Civilian / Social",40345392,Israel,Benjamin Netanyahu,"International Ethnic,Ideological,Center Right,Executive,Government,Elite,Executive Office,(National) Major Party,Foreign Ministry,Parties,Jews",2016
29,Aleppo,Syria,2016-02-09,NULL,2016-02-09,ICEWS24170055,The flows of these people displaced from Aleppo started a week ago when the Russian jets began to heavily bomb the northern countryside of Aleppo to pave the way for a ground offensive launched after a short period of shelling by the Assad regime and its Iranian and Shi'ite militant allies.,Employ aerial weapons,The Syrian refugees begging for safety at the Turkish border,"(2016, 6, 3)",-10,36.2012,37.1612,2,Muhafazat Halab,The Jerusalem Post,3,Factiva,Russian Federation,Russia,NULL,40345347,Syria,Syria,NULL,2016
30,NULL,Syria,2016-02-09,NULL,2016-02-09,ICEWS24169952,"The four British nationals traveled to Syria and took part in beheadings and executions of Western prisoners, according to reports.",Make a visit,"ISIS beheader was on 2009 Gaza convoy, reports say. UK media says Allexanda Kotey was on ship organized by far-left politician George Galloway","(2016, 6, 3)",1.9,33.5102,36.2913,2,NULL,The Jerusalem Post,3,Factiva,United Kingdom,Indigenous People (United Kingdom),"General Population / Civilian / Social,Social",40345361,Syria,Syria,NULL,2016
31,NULL,Syria,2016-02-09,NULL,2016-02-09,ICEWS24170127,"The four British nationals traveled to Syria and took part in beheadings and executions of Western prisoners, according to reports.",Host a visit,"ISIS beheader was on 2009 Gaza convoy, reports say. UK media says Allexanda Kotey was on ship organized by far-left politician George Galloway","(2016, 6, 3)",2.8,33.5102,36.2913,2,NULL,The Jerusalem Post,3,Factiva,Syria,Syria,NULL,40345361,United Kingdom,Indigenous People (United Kingdom),"General Population / Civilian / Social,Social",2016
35,NULL,Qatar,2016-02-10,NULL,2016-02-10,ICEWS24175310,The announcement came as reports suggested Fatah and Hamas negotiators holding talks in Qatar in the past few days have made progress towards ending their dispute.,Make a visit,Palestinian reconciliation talks make limited progress in Qatar,"(2016, 6, 3)",1.9,25.2793,51.5224,2,NULL,The Jerusalem Post,2,Factiva,Occupied Palestinian Territory,Fatah,"Dissident,Ideological,(National) Major Party,Parties,Center Left",40355388,Qatar,Qatar,NULL,2016
36,NULL,Qatar,2016-02-10,NULL,2016-02-10,ICEWS24175311,The announcement came as reports suggested Fatah and Hamas negotiators holding talks in Qatar in the past few days have made progress towards ending their dispute.,Make a visit,Palestinian reconciliation talks make limited progress in Qatar,"(2016, 6, 3)",1.9,25.2793,51.5224,2,NULL,The Jerusalem Post,2,Factiva,Occupied Palestinian Territory,Hamas,"Nongovernmental Organization (International),Muslim,Dissident,International Religious,(National) Major Party,Parties",40355388,Qatar,Qatar,NULL,2016
37,NULL,Qatar,2016-02-10,NULL,2016-02-10,ICEWS24175314,The announcement came as reports suggested Fatah and Hamas negotiators holding talks in Qatar in the past few days have made progress towards ending their dispute.,Host a visit,Palestinian reconciliation talks make limited progress in Qatar,"(2016, 6, 3)",2.8,25.2793,51.5224,2,NULL,The Jerusalem Post,2,Factiva,Qatar,Qatar,NULL,40355388,Occupied Palestinian Territory,Fatah,"Dissident,Ideological,(National) Major Party,Parties,Center Left",2016
